League,Team,Player,Recent_Matches,Recent_Minutes,Recent_Goals,Recent_Assists,Recent_Yellow_Cards,Recent_Red_Cards,Recent_xG,Recent_xA,Recent_Shots,Recent_Shots_On_Target,Recent_Passes_Completed,Recent_Tackles,Recent_Interceptions,Recent_Fouls
Premier League,Arsenal,Ismeal Kabia,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Maldini Kacurri,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Neto,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Josh Nichols,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Eddie Nketiah,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Salah Oulad M'Hand,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Jack Porter,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Aaron Ramsdale,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Arsenal,Tommy Setford,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Joško Gvardiol,34,3007,5,0,2,0,4.4,0.0,0,0,0,34,38,13
Premier League,Manchester City,Erling Haaland,28,2480,21,3,2,0,20.8,0.0,0,0,0,5,5,22
Premier League,Manchester City,Bernardo Silva,30,2401,3,4,7,0,3.2,0.0,0,0,0,34,20,26
Premier League,Manchester City,Ederson,23,2050,0,4,3,0,0.0,0.0,0,0,0,0,1,1
Premier League,Manchester City,İlkay Gündoğan,31,2050,0,5,1,0,2.7,0.0,0,0,0,13,13,15
Premier League,Manchester City,Mateo Kovačić,29,2049,6,1,5,0,1.7,0.0,0,0,0,38,20,23
Premier League,Manchester City,Rúben Dias,24,2001,0,0,4,0,1.4,0.0,0,0,0,10,18,12
Premier League,Manchester City,Sávio,27,1734,1,8,3,0,4.9,0.0,0,0,0,16,6,17
Premier League,Manchester City,Rico Lewis,27,1818,1,2,5,1,1.4,0.0,0,0,0,19,13,11
Premier League,Manchester City,Manuel Akanji,23,1744,0,0,3,0,0.7,0.0,0,0,0,11,7,16
Premier League,Manchester City,Phil Foden,26,1693,7,2,2,0,5.1,0.0,0,0,0,5,9,5
Premier League,Manchester City,Kevin De Bruyne,25,1538,4,7,2,0,3.8,0.0,0,0,0,9,7,16
Premier League,Manchester City,Matheus Nunes,24,1494,1,5,4,0,0.9,0.0,0,0,0,21,13,28
Premier League,Manchester City,Jeremy Doku,26,1397,3,6,1,0,1.0,0.0,0,0,0,19,4,7
Premier League,Manchester City,Stefan Ortega,13,1100,0,0,1,0,0.0,0.0,0,0,0,0,0,1
Premier League,Manchester City,Omar Marmoush,13,998,6,0,0,0,4.8,0.0,0,0,0,6,5,13
Premier League,Manchester City,Kyle Walker,15,970,0,0,3,0,0.1,0.0,0,0,0,10,3,6
Premier League,Manchester City,Nathan Aké,10,678,0,0,0,0,0.2,0.0,0,0,0,7,3,2
Premier League,Manchester City,Nicolás González,9,648,0,0,3,0,0.3,0.0,0,0,0,6,5,11
Premier League,Manchester City,Jack Grealish,19,720,1,1,3,0,1.1,0.0,0,0,0,5,2,5
Premier League,Manchester City,John Stones,11,548,2,0,1,0,0.4,0.0,0,0,0,2,4,2
Premier League,Manchester City,Nico O’Reilly,8,513,2,0,0,0,1.3,0.0,0,0,0,4,4,6
Premier League,Manchester City,Abdukodir Khusanov,6,503,0,0,1,0,0.0,0.0,0,0,0,4,3,3
Premier League,Manchester City,James Mcatee,14,304,3,0,1,0,2.8,0.0,0,0,0,2,2,5
Premier League,Manchester City,Jahmai Simpson-Pusey,2,96,0,0,1,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Rodri,2,65,0,0,0,0,0.0,0.0,0,0,0,1,1,1
Premier League,Manchester City,Divin Mubama,1,28,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Oscar Bobb,2,15,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Vitor Reis,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Max Alleyne,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Thorsten Brits,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Scott Carson,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Issa Kaboré,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Josh Wilson-Esbrand,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Manchester City,Jacob Wright,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Newcastle Utd,Bruno Guimarães,35,3002,4,6,6,0,3.9,0.0,0,0,0,43,27,57
Premier League,Newcastle Utd,Dan Burn,34,3060,1,0,10,0,1.7,0.0,0,0,0,19,25,30
Premier League,Newcastle Utd,Alexander Isak,32,2577,23,6,1,0,19.9,0.0,0,0,0,5,3,25
Premier League,Newcastle Utd,Fabian Schär,31,2664,4,0,7,1,2.4,0.0,0,0,0,21,41,32
Premier League,Newcastle Utd,Valentino Livramento,34,2570,0,1,1,0,0.2,0.0,0,0,0,34,21,6
Premier League,Newcastle Utd,Joelinton,29,2393,4,3,10,0,3.9,0.0,0,0,0,35,23,58
Premier League,Newcastle Utd,Jacob Murphy,32,2139,8,11,3,0,5.7,0.0,0,0,0,15,11,11
Premier League,Newcastle Utd,Sandro Tonali,33,2360,3,2,5,0,3.7,0.0,0,0,0,30,33,36
Premier League,Newcastle Utd,Nick Pope,25,2250,0,0,2,0,0.0,0.0,0,0,0,0,1,2
Premier League,Newcastle Utd,Anthony Gordon,31,2235,6,5,2,0,8.0,0.0,0,0,0,17,6,19
Premier League,Newcastle Utd,Lewis Hall,27,2189,0,4,3,0,0.4,0.0,0,0,0,41,18,9
Premier League,Newcastle Utd,Harvey Barnes,30,1503,9,4,0,0,6.6,0.0,0,0,0,9,6,11
Premier League,Newcastle Utd,Kieran Trippier,24,1281,0,3,1,0,0.1,0.0,0,0,0,20,12,16
Premier League,Newcastle Utd,Joe Willock,30,1026,0,2,3,0,1.6,0.0,0,0,0,16,6,22
