Player;Team;Pos;player_score;Player_URL
Rico Lewis;Manchester City;DF;0.6108739669040593;https://fbref.com/en/players/b57e066e/Rico-Lewis
Manuel Akanji;Manchester City;DF;0.5643197285193453;https://fbref.com/en/players/89ac64a6/Manuel-Akanji
Phil Foden;Manchester City;MF;0.3634093289716554;https://fbref.com/en/players/ed1e53f3/Phil-Foden
Kevin De Bruyne;Manchester City;MF;0.4287183690532979;https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
Matheus Nunes;Manchester City;DF;0.6154075268620327;https://fbref.com/en/players/e6af02e0/Matheus-Nunes
Jeremy Doku;Manchester City;FW;0.2139809772538947;https://fbref.com/en/players/fffea3e5/Jeremy-Doku
Stefan Ortega;Manchester City;GK;0.3489969025356035;https://fbref.com/en/players/c1242d4e/Stefan-Ortega
Omar Marmoush;Manchester City;FW;0.21226910467500743;https://fbref.com/en/players/0e0102eb/Omar-Marmoush
Kyle Walker;Manchester City;DF;0.5431062828384785;https://fbref.com/en/players/86dd77d1/Kyle-Walker
Nathan Aké;Manchester City;DF;0.5363059429015182;https://fbref.com/en/players/eaeca114/Nathan-Ake
Nicolás González;Manchester City;MF;0.08521077975151592;https://fbref.com/en/players/2c56a792/Nicolas-Gonzalez
Jack Grealish;Manchester City;FW;0.07816545943209109;https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
John Stones;Manchester City;DF;0.5297087094320546;https://fbref.com/en/players/5eecec3d/John-Stones
Nico O’Reilly;Manchester City;DF;0.5342422693900281;https://fbref.com/en/players/91ca4a16/Nico-OReilly
Abdukodir Khusanov;Manchester City;DF;0.5295056029645581;https://fbref.com/en/players/d17ce930/Abdukodir-Khusanov
James Mcatee;Manchester City;MF;0.11063029074962676;https://fbref.com/en/players/96593e89/James-Mcatee
Jahmai Simpson-Pusey;Manchester City;DF;0.5062284837722011;https://fbref.com/en/players/383b10fd/Jahmai-Simpson-Pusey
Rodri;Manchester City;MF;0.015970052531184966;https://fbref.com/en/players/6434f10d/Rodri
Divin Mubama;Manchester City;FW;0.04383187393942432;https://fbref.com/en/players/92868cb5/Divin-Mubama
Oscar Bobb;Manchester City;FW;0.04383187393942432;https://fbref.com/en/players/eed2427e/Oscar-Bobb
Vitor Reis;Manchester City;DF;0.5062284837722011;https://fbref.com/en/players/c4ce0ab5/Vitor-Reis
Bruno Guimarães;Newcastle Utd;MF;0.7944114133637279;https://fbref.com/en/players/82518f62/Bruno-Guimaraes
Dan Burn;Newcastle Utd;DF;0.680235029192763;https://fbref.com/en/players/b2d31e83/Dan-Burn
Alexander Isak;Newcastle Utd;FW;0.7316065390997474;https://fbref.com/en/players/8e92be30/Alexander-Isak
Fabian Schär;Newcastle Utd;DF;0.7605552519582569;https://fbref.com/en/players/c8aa95da/Fabian-Schar
Valentino Livramento;Newcastle Utd;DF;0.695290063175684;https://fbref.com/en/players/afed6722/Valentino-Livramento
Joelinton;Newcastle Utd;MF;0.6228233979019902;https://fbref.com/en/players/c17bfb65/Joelinton
Jacob Murphy;Newcastle Utd;FW;0.39774045614879394;https://fbref.com/en/players/de112b84/Jacob-Murphy
Sandro Tonali;Newcastle Utd;MF;0.6471308592326765;https://fbref.com/en/players/0db169ae/Sandro-Tonali
Nick Pope;Newcastle Utd;GK;0.714191318610305;https://fbref.com/en/players/4b40d9ca/Nick-Pope
Anthony Gordon;Newcastle Utd;FW;0.2178781263999457;https://fbref.com/en/players/2bd83368/Anthony-Gordon
Lewis Hall;Newcastle Utd;DF;0.6969475237521812;https://fbref.com/en/players/da011f18/Lewis-Hall
Harvey Barnes;Newcastle Utd;FW;0.3487365655774326;https://fbref.com/en/players/3ea50f67/Harvey-Barnes
Kieran Trippier;Newcastle Utd;DF;0.6209251456406395;https://fbref.com/en/players/21512407/Kieran-Trippier
Joe Willock;Newcastle Utd;MF;0.2069359774461098;https://fbref.com/en/players/a3b03921/Joe-Willock
Martin Dúbravka;Newcastle Utd;GK;0.2854869660189182;https://fbref.com/en/players/3a949a25/Martin-Dubravka
Sean Longstaff;Newcastle Utd;MF;0.16003502157861454;https://fbref.com/en/players/a2b105e0/Sean-Longstaff
Lloyd Kelly;Newcastle Utd;DF;0.5325533352966815;https://fbref.com/en/players/f31def1e/Lloyd-Kelly
Sven Botman;Newcastle Utd;DF;0.5467633345730916;https://fbref.com/en/players/ccce7025/Sven-Botman
Emil Krafth;Newcastle Utd;DF;0.5327564417641781;https://fbref.com/en/players/77cf6852/Emil-Krafth
Callum Wilson;Newcastle Utd;FW;0.03778609822364166;https://fbref.com/en/players/c596fcb0/Callum-Wilson
Lewis Miley;Newcastle Utd;MF;0.09569378662725982;https://fbref.com/en/players/2c6835e5/Lewis-Miley
Miguel Almirón;Newcastle Utd;FW;0.03627465429469599;https://fbref.com/en/players/862a1c15/Miguel-Almiron
William Osula;Newcastle Utd;FW;0.08248485323130783;https://fbref.com/en/players/7b355808/William-Osula
Matt Targett;Newcastle Utd;DF;0.5234862153807346;https://fbref.com/en/players/e514ab62/Matt-Targett
Moisés Caicedo;Chelsea;MF;0.9466808836607711;https://fbref.com/en/players/16264a81/Moises-Caicedo
Cole Palmer;Chelsea;MF;0.8313265740652217;https://fbref.com/en/players/dc7f8a28/Cole-Palmer
Levi Colwill;Chelsea;DF;0.7268400534411653;https://fbref.com/en/players/700783e7/Levi-Colwill
Marc Cucurella;Chelsea;DF;0.7140844082737557;https://fbref.com/en/players/1daec722/Marc-Cucurella
Enzo Fernández;Chelsea;MF;0.6681275986569608;https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez
Robert Sánchez;Chelsea;GK;0.8285094248862502;https://fbref.com/en/players/6a713852/Robert-Sanchez
Nicolas Jackson;Chelsea;FW;0.3135437303385987;https://fbref.com/en/players/9c36ed83/Nicolas-Jackson
Noni Madueke;Chelsea;FW;0.2198265754218927;https://fbref.com/en/players/bf34eebd/Noni-Madueke
Pedro Neto;Chelsea;FW;0.21463292033451636;https://fbref.com/en/players/7ba2eaa9/Pedro-Neto
Malo Gusto;Chelsea;DF;0.6796764956539616;https://fbref.com/en/players/d56b9520/Malo-Gusto
Jadon Sancho;Chelsea;FW;0.17425355912606688;https://fbref.com/en/players/dbf053da/Jadon-Sancho
Wesley Fofana;Chelsea;DF;0.6007780181609437;https://fbref.com/en/players/132a82f1/Wesley-Fofana
Tosin Adarabioyo;Chelsea;DF;0.57729779250109;https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo
Reece James;Chelsea;DF;0.5845043453730434;https://fbref.com/en/players/1265a93a/Reece-James
Trevoh Chalobah;Chelsea;DF;0.563494006159673;https://fbref.com/en/players/5515376c/Trevoh-Chalobah
Roméo Lavia;Chelsea;MF;0.24697546399254297;https://fbref.com/en/players/ecad9aa5/Romeo-Lavia
Christopher Nkunku;Chelsea;FW;0.11336592599299973;https://fbref.com/en/players/7c56da38/Christopher-Nkunku
Filip Jørgensen;Chelsea;GK;0.17116275091279037;https://fbref.com/en/players/0107757e/Filip-Jorgensen
Axel Disasi;Chelsea;DF;0.5258037812234094;https://fbref.com/en/players/ad82197c/Axel-Disasi
João Félix;Chelsea;FW;0.06153957621368876;https://fbref.com/en/players/8aafd64f/Joao-Felix
Benoît Badiashile;Chelsea;DF;0.549284006883263;https://fbref.com/en/players/06df8256/Benoit-Badiashile
Kiernan Dewsbury-Hall;Chelsea;MF;0.06616736656509387;https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall
Joshua Acheampong;Chelsea;DF;0.5142667748609793;https://fbref.com/en/players/b7e62e1d/Joshua-Acheampong
Renato Veiga;Chelsea;DF;0.5256006747559129;https://fbref.com/en/players/fc8fcbd1/Renato-Veiga
Mykhailo Mudryk;Chelsea;FW;0.03929754215258732;https://fbref.com/en/players/049a888d/Mykhailo-Mudryk
Tyrique George;Chelsea;FW;0.0917684547926021;https://fbref.com/en/players/e6f7797e/Tyrique-George
Marc Guiu;Chelsea;FW;0.04383187393942432;https://fbref.com/en/players/d3d774cc/Marc-Guiu
Mathis Amougou;Chelsea;MF;0.0;https://fbref.com/en/players/f93cca97/Mathis-Amougou
Shumaira Mheuka;Chelsea;MF;0.0;https://fbref.com/en/players/43d0b694/Shumaira-Mheuka
Matz Sels;Nott'ham Forest;GK;0.9999973519470554;https://fbref.com/en/players/834b5c4c/Matz-Sels
Nikola Milenković;Nott'ham Forest;DF;0.7008562695539927;https://fbref.com/en/players/bee704fc/Nikola-Milenkovic
Murillo;Nott'ham Forest;DF;0.7566807343221502;https://fbref.com/en/players/1704b0b8/Murillo
Ola Aina;Nott'ham Forest;DF;0.7632779677916139;https://fbref.com/en/players/246d153b/Ola-Aina
Chris Wood;Nott'ham Forest;FW;0.6625021119192555;https://fbref.com/en/players/4e9a0555/Chris-Wood
Morgan Gibbs-White;Nott'ham Forest;MF;0.6464775625676815;https://fbref.com/en/players/32f60ed8/Morgan-Gibbs-White
Elliot Anderson;Nott'ham Forest;MF;0.8220245497393249;https://fbref.com/en/players/de31038e/Elliot-Anderson
Anthony Elanga;Nott'ham Forest;FW;0.31849317766084073;https://fbref.com/en/players/2fba6108/Anthony-Elanga
Neco Williams;Nott'ham Forest;DF;0.7439250891547406;https://fbref.com/en/players/dd323728/Neco-Williams
Callum Hudson-Odoi;Nott'ham Forest;FW;0.22845798280040835;https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi
Nicolás Domínguez;Nott'ham Forest;MF;0.5296333862362229;https://fbref.com/en/players/20b3a502/Nicolas-Dominguez
Ryan Yates;Nott'ham Forest;MF;0.46963414977590284;https://fbref.com/en/players/c1fe2a48/Ryan-Yates
Álex Moreno;Nott'ham Forest;DF;0.6353553654673986;https://fbref.com/en/players/16e9d0ea/Alex-Moreno
Jota Silva;Nott'ham Forest;FW;0.14489131051323845;https://fbref.com/en/players/4d77e622/Jota-Silva
Morato;Nott'ham Forest;DF;0.6003381334451148;https://fbref.com/en/players/0f41e2ee/Morato
