League,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
Serie A,3,Atalanta,35,20,8,7,71,31,+40,68,1.94,59.4,34.1,+25.3,+0.72,L 0–1 vs Lazio; W 2–0 vs Bologna; W 0–1 vs Milan; D 1–1 vs Lecce; W 0–4 vs Monza
Serie A,4,Juventus,35,16,15,4,52,32,+20,63,1.80,46.6,31.2,+15.4,+0.44,D 1–1 vs Roma; W 2–1 vs Lecce; L 1–0 vs Parma; W 2–0 vs Monza; D 1–1 vs Bologna
Serie A,5,Roma,35,18,9,8,50,32,+18,63,1.80,49.2,36.6,+12.6,+0.36,D 1–1 vs Juventus; D 1–1 vs Lazio; W 1–0 vs Hellas Verona; W 0–1 vs Inter; W 1–0 vs Fiorentina
Serie A,6,Lazio,35,18,9,8,58,45,+13,63,1.80,51.6,35.4,+16.2,+0.46,W 0–1 vs Atalanta; D 1–1 vs Roma; W 0–2 vs Genoa; D 2–2 vs Parma; W 0–1 vs Empoli
Serie A,7,Bologna,35,16,14,5,53,38,+15,62,1.77,45.5,32.4,+13.1,+0.37,D 1–1 vs Napoli; L 2–0 vs Atalanta; W 1–0 vs Inter; D 0–0 vs Udinese; D 1–1 vs Juventus
Serie A,8,Fiorentina,35,17,8,10,53,35,+18,59,1.69,43.3,37.0,+6.3,+0.18,D 2–2 vs Milan; D 0–0 vs Parma; W 1–2 vs Cagliari; W 2–1 vs Empoli; L 1–0 vs Roma
Serie A,9,Milan,35,16,9,10,55,39,+16,57,1.63,59.2,39.3,+19.9,+0.57,D 2–2 vs Fiorentina; W 0–4 vs Udinese; L 0–1 vs Atalanta; W 0–2 vs Venezia; W 1–2 vs Genoa
Serie A,10,Como,35,12,9,14,45,48,-3,45,1.29,41.5,39.3,+2.2,+0.06,W 1–3 vs Monza; W 1–0 vs Torino; W 0–3 vs Lecce; W 1–0 vs Genoa; W 0–1 vs Parma
Serie A,11,Torino,35,10,14,11,39,40,-1,44,1.26,32.1,45.2,-13.1,-0.37,D 1–1 vs Hellas Verona; L 1–0 vs Como; W 2–0 vs Udinese; L 2–0 vs Napoli; D 1–1 vs Venezia
Serie A,12,Udinese,35,12,8,15,38,49,-11,44,1.26,34.8,46.7,-11.9,-0.34,L 1–0 vs Genoa; L 0–4 vs Milan; L 2–0 vs Torino; D 0–0 vs Bologna; W 1–2 vs Cagliari
