League;Team;Player;Player_URL;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
Premier League;Southampton;Joe Lumley;https://fbref.com/en/players/bdf3a08e/Joe-Lumley;;GK;30;3;3;270;3.0;0;0;0;0;0;0;0;0
Premier League;Southampton;Welington;https://fbref.com/en/players/a7f95b1f/Welington;;DF,MF;24;7;3;215;2.4;0;0;0;0;0;0;1;0
Premier League;Southampton;Armel Bella Kotchap;https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap;;DF;23;4;2;331;3.7;0;0;0;0;0;0;0;0
Premier League;Southampton;Charlie Taylor;https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor;;DF;31;7;2;266;3.0;0;0;0;0;0;0;1;0
Premier League;Southampton;Albert Grønbaek;https://fbref.com/en/players/0da5076f/Albert-Gronbaek;;FW,MF;23;4;2;143;1.6;0;0;0;0;0;0;0;0
Premier League;Southampton;Maxwel Cornet;https://fbref.com/en/players/beb391dd/Maxwel-Cornet;;FW;28;2;1;72;0.8;0;0;0;0;0;0;1;0
Premier League;Southampton;Samuel Edozie;https://fbref.com/en/players/007414dd/Samuel-Edozie;;DF,FW;22;2;0;65;0.7;0;0;0;0;0;0;1;0
Premier League;Southampton;Jay Robinson;https://fbref.com/en/players/2a616c85/Jay-Robinson;;MF,FW;18;2;0;36;0.4;0;0;0;0;0;0;0;0
Premier League;Southampton;Samuel Amo-Ameyaw;https://fbref.com/en/players/9eedf0e0/Samuel-Amo-Ameyaw;;FW,DF;18;2;0;28;0.3;0;0;0;0;0;0;1;0
Premier League;Southampton;Ronnie Edwards;https://fbref.com/en/players/be90c4b0/Ronnie-Edwards;;DF;22;1;0;12;0.1;0;0;0;0;0;0;0;0
Premier League;Southampton;Carlos Alcaraz;https://fbref.com/en/players/4abac767/Carlos-Alcaraz;;MF;22;1;0;10;0.1;0;0;0;0;0;0;0;0
Premier League;Southampton;Joe O'Brien-Whitmarsh;https://fbref.com/en/players/fd1c27b8/Joe-OBrien-Whitmarsh;;FW;;0;0;;;;;;;;;;
Serie A;Napoli;Amir Rrahmani;https://fbref.com/en/players/4b3e1a38/Amir-Rrahmani;;DF;31;35;35;3,136;34.8;1;2;3;1;0;0;2;0
Serie A;Napoli;Giovanni Di Lorenzo;https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo;;DF;31;34;34;3,06;34.0;3;2;5;3;0;0;5;0
Serie A;Napoli;Romelu Lukaku;https://fbref.com/en/players/5eae500a/Romelu-Lukaku;;FW;31;33;32;2,599;28.9;12;10;22;9;3;4;3;0
Serie A;Napoli;Alex Meret;https://fbref.com/en/players/9413b19f/Alex-Meret;;GK;28;31;31;2,735;30.4;0;0;0;0;0;0;0;0
Serie A;Napoli;Matteo Politano;https://fbref.com/en/players/5e861944/Matteo-Politano;;FW,MF;31;34;31;2,578;28.6;3;3;6;3;0;0;2;0
Serie A;Napoli;Scott McTominay;https://fbref.com/en/players/d93c2511/Scott-McTominay;;MF;28;31;30;2,668;29.6;11;2;13;11;0;0;3;0
Serie A;Napoli;Stanislav Lobotka;https://fbref.com/en/players/e1cbb531/Stanislav-Lobotka;;MF;30;31;30;2,624;29.2;0;1;1;0;0;0;3;0
Serie A;Napoli;Andre-Frank Zambo Anguissa;https://fbref.com/en/players/6bb2c084/Andre-Frank-Zambo-Anguissa;;MF;29;32;29;2,588;28.8;6;4;10;6;0;0;5;0
Serie A;Napoli;Mathías Olivera;https://fbref.com/en/players/41c12f75/Mathias-Olivera;;DF;27;29;23;2,1;23.3;0;2;2;0;0;0;4;0
Serie A;Napoli;Alessandro Buongiorno;https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno;;DF;25;22;22;1,924;21.4;1;0;1;1;0;0;2;0
Serie A;Napoli;Khvicha Kvaratskhelia;https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia;;FW,MF;24;17;15;1,178;13.1;5;3;8;4;1;1;1;0
Serie A;Napoli;Leonardo Spinazzola;https://fbref.com/en/players/3626daea/Leonardo-Spinazzola;;DF,FW;32;24;14;1,258;14.0;1;1;2;1;0;0;1;0
Serie A;Napoli;David Neres;https://fbref.com/en/players/4f1e6a0b/David-Neres;;FW;28;25;13;1,228;13.6;2;4;6;2;0;0;1;0
Serie A;Napoli;Juan Jesus;https://fbref.com/en/players/79083382/Juan-Jesus;;DF;33;15;12;1,074;11.9;0;1;1;0;0;0;2;0
Serie A;Napoli;Billy Gilmour;https://fbref.com/en/players/df10e27c/Billy-Gilmour;;MF;23;23;11;941;10.5;0;1;1;0;0;0;0;0
Serie A;Napoli;Giacomo Raspadori;https://fbref.com/en/players/6e058f06/Giacomo-Raspadori;;FW,MF;25;23;8;872;9.7;5;1;6;5;0;0;1;0
Serie A;Napoli;Pasquale Mazzocchi;https://fbref.com/en/players/eb0ec070/Pasquale-Mazzocchi;;DF,FW;29;18;7;691;7.7;0;0;0;0;0;0;2;0
Serie A;Napoli;Elia Caprile;https://fbref.com/en/players/97d7afbd/Elia-Caprile;;GK;23;4;3;325;3.6;0;0;0;0;0;0;0;0
Serie A;Napoli;Giovanni Simeone;https://fbref.com/en/players/343c0d52/Giovanni-Simeone;;FW;29;28;1;393;4.4;1;1;2;1;0;0;1;0
Serie A;Napoli;Cyril Ngonge;https://fbref.com/en/players/2b8360f1/Cyril-Ngonge;;FW;24;16;1;199;2.2;0;0;0;0;0;0;2;0
Serie A;Napoli;Philip Billing;https://fbref.com/en/players/d328a254/Philip-Billing;;MF;28;7;1;158;1.8;1;0;1;1;0;0;0;0
Serie A;Napoli;Rafa Marín;https://fbref.com/en/players/3239a8ed/Rafa-Marin;;DF;22;4;1;142;1.6;0;0;0;0;0;0;1;0
Serie A;Napoli;Simone Scuffet;https://fbref.com/en/players/41bd99ea/Simone-Scuffet;;GK;28;1;1;90;1.0;0;0;0;0;0;0;0;0
Serie A;Napoli;Noah Okafor;https://fbref.com/en/players/ca607d59/Noah-Okafor;;FW,MF;24;4;0;40;0.4;0;0;0;0;0;0;0;0
Serie A;Napoli;Michael Folorunsho;https://fbref.com/en/players/c391a179/Michael-Folorunsho;;FW,MF;27;6;0;35;0.4;0;0;0;0;0;0;0;0
Serie A;Napoli;Walid Cheddira;https://fbref.com/en/players/0545a08e/Walid-Cheddira;;FW;27;1;0;12;0.1;0;0;0;0;0;0;0;0
Serie A;Napoli;Alessio Zerbin;https://fbref.com/en/players/d19ef4ef/Alessio-Zerbin;;FW,DF;26;2;0;2;0.0;0;0;0;0;0;0;0;0
Serie A;Napoli;Nikita Contini Baranovsky;https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky;;GK;28;0;0;;0.0;0;0;0;0;0;0;1;0
Serie A;Napoli;Mattia Esposito;https://fbref.com/en/players/2ff1bac6/Mattia-Esposito;;DF;19;0;0;;;;;;;;;;
Serie A;Napoli;Gianluca Gaetano;https://fbref.com/en/players/3b387cc7/Gianluca-Gaetano;;FW,MF;25;0;0;;;;;;;;;;
Serie A;Napoli;Francesco Gioielli;https://fbref.com/en/players/6ced606e/Francesco-Gioielli;;MF;21;0;0;;;;;;;;;;
Serie A;Napoli;Luis Hasa;https://fbref.com/en/players/ab4f1aa9/Luis-Hasa;;MF;21;0;0;;;;;;;;;;
Serie A;Napoli;Gennaro Iaccarino;https://fbref.com/en/players/5b079870/Gennaro-Iaccarino;;MF;21;0;0;;;;;;;;;;
Serie A;Napoli;Francesco Mezzoni;https://fbref.com/en/players/bb0b6521/Francesco-Mezzoni;;FW;24;0;0;;;;;;;;;;
Serie A;Napoli;Coli Saco;https://fbref.com/en/players/95df20b2/Coli-Saco;;MF;22;0;0;;;;;;;;;;
Serie A;Napoli;Claudio Turi;https://fbref.com/en/players/193a5d9c/Claudio-Turi;;GK;20;0;0;;;;;;;;;;
Serie A;Inter;Yann Sommer;https://fbref.com/en/players/420c18a1/Yann-Sommer;;GK;36;31;31;2,79;31.0;0;0;0;0;0;0;0;0
Serie A;Inter;Lautaro Martínez;https://fbref.com/en/players/f7036e1c/Lautaro-Martinez;;FW;27;31;31;2,564;28.5;12;3;15;12;0;0;1;0
Serie A;Inter;Henrikh Mkhitaryan;https://fbref.com/en/players/dd0daf32/Henrikh-Mkhitaryan;;MF;36;31;29;2,307;25.6;1;4;5;1;0;0;4;0
Serie A;Inter;Alessandro Bastoni;https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni;;DF;26;31;29;2,234;24.8;1;4;5;1;0;0;6;1
Serie A;Inter;Nicolò Barella;https://fbref.com/en/players/6928979a/Nicolo-Barella;;MF;28;30;28;2,343;26.0;3;6;9;3;0;0;4;0
Serie A;Inter;Federico Dimarco;https://fbref.com/en/players/970b8574/Federico-Dimarco;;DF,FW;27;30;27;2,006;22.3;4;7;11;4;0;0;3;0
Serie A;Inter;Marcus Thuram;https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram;;FW;27;31;26;2,2;24.4;14;4;18;14;0;0;1;0
Serie A;Inter;Hakan Çalhanoğlu;https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu;;MF;31;26;24;1,77;19.7;5;4;9;2;3;4;3;0
Serie A;Inter;Denzel Dumfries;https://fbref.com/en/players/481c9ece/Denzel-Dumfries;;DF,FW;29;26;19;1,789;19.9;6;2;8;6;0;0;4;0
Serie A;Inter;Francesco Acerbi;https://fbref.com/en/players/b96b595c/Francesco-Acerbi;;DF;37;20;19;1,577;17.5;0;1;1;0;0;0;0;0
Serie A;Inter;Matteo Darmian;https://fbref.com/en/players/96e0490d/Matteo-Darmian;;DF;35;27;18;1,601;17.8;3;2;5;3;0;0;3;0
Serie A;Inter;Benjamin Pavard;https://fbref.com/en/players/45a03961/Benjamin-Pavard;;DF;29;23;18;1,584;17.6;0;1;1;0;0;0;4;0
Serie A;Inter;Stefan de Vrij;https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij;;DF;33;24;16;1,546;17.2;2;0;2;2;0;0;1;0
Serie A;Inter;Yann Aurel Bisseck;https://fbref.com/en/players/3963c25b/Yann-Aurel-Bisseck;;DF;24;24;14;1,449;16.1;2;2;4;2;0;0;3;0
Serie A;Inter;Carlos Augusto;https://fbref.com/en/players/8d3cd59d/Carlos-Augusto;;DF;26;26;13;1,533;17.0;3;2;5;3;0;0;0;0
Serie A;Inter;Davide Frattesi;https://fbref.com/en/players/2a7d27c1/Davide-Frattesi;;MF;25;28;9;1,225;13.6;5;1;6;5;0;0;1;0
Serie A;Inter;Kristjan Asllani;https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani;;MF;23;20;8;808;9.0;1;2;3;0;1;1;4;0
Serie A;Inter;Piotr Zieliński;https://fbref.com/en/players/a5296e55/Piotr-Zielinski;;MF;30;24;7;918;10.2;2;2;4;0;2;2;0;0
Serie A;Inter;Marko Arnautović;https://fbref.com/en/players/00459419/Marko-Arnautovic;;FW;36;16;5;530;5.9;4;2;6;4;0;0;1;0
Serie A;Inter;Mehdi Taremi;https://fbref.com/en/players/4c2a5d34/Mehdi-Taremi;;FW;32;23;4;599;6.7;1;1;2;0;1;1;1;0
Serie A;Inter;Joaquín Correa;https://fbref.com/en/players/45b9b619/Joaquin-Correa;;FW,MF;30;16;4;516;5.7;1;2;3;1;0;0;3;0
Serie A;Inter;Josep Martinez;https://fbref.com/en/players/11d8aff0/Josep-Martinez;;GK;26;4;4;360;4.0;0;0;0;0;0;0;0;0
Serie A;Inter;Nicola Zalewski;https://fbref.com/en/players/45191c29/Nicola-Zalewski;;DF;23;8;2;294;3.3;0;1;1;0;0;0;2;0
Serie A;Inter;Tajon Buchanan;https://fbref.com/en/players/3aca6420/Tajon-Buchanan;;DF,FW;26;6;0;95;1.1;0;0;0;0;0;0;0;0
Serie A;Inter;Tomás Palacios;https://fbref.com/en/players/404101f9/Tomas-Palacios;;DF;22;2;0;11;0.1;0;0;0;0;0;0;0;0
Serie A;Inter;Mike Aidoo;https://fbref.com/en/players/a98c967a/Mike-Aidoo;;DF;19;0;0;;;;;;;;;;
Serie A;Inter;Christos Alexiou;https://fbref.com/en/players/c9b0a6dd/Christos-Alexiou;;DF;19;0;0;;;;;;;;;;
Serie A;Inter;Thomas Berenbruch;https://fbref.com/en/players/921bf733/Thomas-Berenbruch;;MF;19;0;0;;;;;;;;;;
Serie A;Inter;Alessandro Calligaris;https://fbref.com/en/players/2bd46514/Alessandro-Calligaris;;GK;20;0;0;;;;;;;;;;
Serie A;Inter;Matteo Cocchi;https://fbref.com/en/players/2081c175/Matteo-Cocchi;;DF;18;0;0;;;;;;;;;;
Serie A;Inter;Giacomo De Pieri;https://fbref.com/en/players/5f22bcd7/Giacomo-De-Pieri;;MF;18;0;0;;;;;;;;;;
Serie A;Inter;Raffaele Di Gennaro;https://fbref.com/en/players/7a4050d5/Raffaele-Di-Gennaro;;GK;31;0;0;;;;;;;;;;
Serie A;Inter;Alessandro Fontanarosa;https://fbref.com/en/players/8961065a/Alessandro-Fontanarosa;;DF;22;0;0;;;;;;;;;;
Serie A;Inter;Matteo Motta;https://fbref.com/en/players/580b2e2d/Matteo-Motta;;DF;20;0;0;;;;;;;;;;
Serie A;Inter;Gabriele Re Cecconi;https://fbref.com/en/players/1b112ed3/Gabriele-Re-Cecconi;;DF;19;0;0;;;;;;;;;;
Serie A;Inter;Matteo Spinaccè;https://fbref.com/en/players/45961efb/Matteo-Spinacce;;FW;18;0;0;;;;;;;;;;
Serie A;Inter;Alain Taho;https://fbref.com/en/players/508c5f04/Alain-Taho;;GK;18;0;0;;;;;;;;;;
Serie A;Inter;Luka Topalović;https://fbref.com/en/players/9a33c016/Luka-Topalovic;;MF;19;0;0;;;;;;;;;;
Serie A;Inter;Mattia Zanchetta;https://fbref.com/en/players/4a9d6faa/Mattia-Zanchetta;;MF;19;0;0;;;;;;;;;;
Serie A;Atalanta;Marco Carnesecchi;https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi;;GK;24;32;32;2,88;32.0;0;0;0;0;0;0;1;0
Serie A;Atalanta;Marten de Roon;https://fbref.com/en/players/2a1beb34/Marten-de-Roon;;MF,DF;34;34;32;2,878;32.0;4;3;7;4;0;0;5;0
Serie A;Atalanta;Éderson;https://fbref.com/en/players/a9202def/Ederson;;MF;25;34;31;2,745;30.5;4;1;5;4;0;0;5;1
Serie A;Atalanta;Berat Djimsiti;https://fbref.com/en/players/6eee05f1/Berat-Djimsiti;;DF;32;32;30;2,46;27.3;1;2;3;1;0;0;4;0
Serie A;Atalanta;Mateo Retegui;https://fbref.com/en/players/e7695e6c/Mateo-Retegui;;FW;26;33;29;2,116;23.5;24;7;31;20;4;5;3;0
Serie A;Atalanta;Ademola Lookman;https://fbref.com/en/players/7c104bb7/Ademola-Lookman;;MF,FW;27;29;27;2,115;23.5;14;5;19;13;1;1;4;0
Serie A;Atalanta;Isak Hien;https://fbref.com/en/players/12806697/Isak-Hien;;DF;26;29;26;2,237;24.9;0;0;0;0;0;0;10;0
Serie A;Atalanta;Raoul Bellanova;https://fbref.com/en/players/e3756e72/Raoul-Bellanova;;DF;24;31;25;2,215;24.6;0;8;8;0;0;0;3;0
Serie A;Atalanta;Davide Zappacosta;https://fbref.com/en/players/7fe90ccd/Davide-Zappacosta;;DF;32;28;25;1,96;21.8;4;2;6;4;0;0;3;0
Serie A;Atalanta;Sead Kolašinac;https://fbref.com/en/players/3935e52e/Sead-Kolasinac;;DF;31;23;23;1,903;21.1;0;2;2;0;0;0;7;0
Serie A;Atalanta;Charles De Ketelaere;https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere;;MF,FW;24;33;23;1,896;21.1;7;5;12;7;0;0;1;0
Serie A;Atalanta;Mario Pašalić;https://fbref.com/en/players/e599253a/Mario-Pasalic;;MF;30;31;22;1,85;20.6;3;4;7;3;0;1;1;0
Serie A;Atalanta;Matteo Ruggeri;https://fbref.com/en/players/ae9898c5/Matteo-Ruggeri;;DF;22;27;17;1,597;17.7;0;2;2;0;0;0;2;0
Serie A;Atalanta;Odilon Kossounou;https://fbref.com/en/players/1f3afdcb/Odilon-Kossounou;;DF;24;15;9;855;9.5;0;0;0;0;0;0;1;0
Serie A;Atalanta;Marco Brescianini;https://fbref.com/en/players/dfd56738/Marco-Brescianini;;MF;25;26;7;861;9.6;4;2;6;4;0;0;1;0
Serie A;Atalanta;Juan Cuadrado;https://fbref.com/en/players/0ab1f153/Juan-Cuadrado;;DF,MF;36;22;7;813;9.0;0;2;2;0;0;0;3;0
Serie A;Atalanta;Lazar Samardzic;https://fbref.com/en/players/217c93a1/Lazar-Samardzic;;MF,FW;23;29;6;1,056;11.7;2;1;3;2;0;0;3;0
Serie A;Atalanta;Stefan Posch;https://fbref.com/en/players/7f609bfc/Stefan-Posch;;DF;27;4;4;342;3.8;0;0;0;0;0;0;0;0
Serie A;Atalanta;Giorgio Scalvini;https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini;;DF;21;6;4;272;3.0;0;0;0;0;0;0;2;0
Serie A;Atalanta;Rafael Tolói;https://fbref.com/en/players/c56dc39e/Rafael-Toloi;;DF;34;11;2;468;5.2;0;0;0;0;0;0;1;0
Serie A;Atalanta;Rui Patrício;https://fbref.com/en/players/79b0d6a0/Rui-Patricio;;GK;37;2;2;180;2.0;0;0;0;0;0;0;0;0
Serie A;Atalanta;Ibrahim Sulemana;https://fbref.com/en/players/230c3f3a/Ibrahim-Sulemana;;MF;21;6;1;123;1.4;0;0;0;0;0;0;1;0
Serie A;Atalanta;Juan Musso;https://fbref.com/en/players/a111cf41/Juan-Musso;;GK;31;1;1;90;1.0;0;0;0;0;0;0;0;0
Serie A;Atalanta;Nicolò Zaniolo;https://fbref.com/en/players/9907b1c8/Nicolo-Zaniolo;;FW,MF;25;14;0;356;4.0;2;2;4;2;0;0;4;0
Serie A;Atalanta;Daniel Maldini;https://fbref.com/en/players/801831fe/Daniel-Maldini;;FW,MF;23;7;0;137;1.5;0;0;0;0;0;0;0;0
Serie A;Atalanta;Marco Palestra;https://fbref.com/en/players/1f1828dd/Marco-Palestra;;DF;20;7;0;104;1.2;0;0;0;0;0;0;0;0
Serie A;Atalanta;Vanja Vlahović;https://fbref.com/en/players/2af3f55c/Vanja-Vlahovic;;FW,MF;21;3;0;60;0.7;0;0;0;0;0;0;0;0
Serie A;Atalanta;Ben Godfrey;https://fbref.com/en/players/9f7c837d/Ben-Godfrey;;DF;27;1;0;23;0.3;0;0;0;0;0;0;0;0
Serie A;Atalanta;Mitchel Bakker;https://fbref.com/en/players/a8567629/Mitchel-Bakker;;MF;24;1;0;22;0.2;0;0;0;0;0;0;0;0
Serie A;Atalanta;Federico Cassa;https://fbref.com/en/players/5f209d47/Federico-Cassa;;MF,FW;19;2;0;14;0.2;0;0;0;0;0;0;0;0
Serie A;Atalanta;Alberto Manzoni;https://fbref.com/en/players/08cda374/Alberto-Manzoni;;MF;19;1;0;6;0.1;0;0;0;0;0;0;0;0
Serie A;Atalanta;Gianluca Scamacca;https://fbref.com/en/players/8790f988/Gianluca-Scamacca;;FW;26;1;0;6;0.1;0;0;0;0;0;0;0;0
Serie A;Atalanta;Lorenzo Bernasconi;https://fbref.com/en/players/c1041eb7/Lorenzo-Bernasconi;;DF;21;0;0;;;;;;;;;;
Serie A;Atalanta;Pietro Comi;https://fbref.com/en/players/4f74f779/Pietro-Comi;;DF;19;0;0;;;;;;;;;;
Serie A;Atalanta;Tommaso Del Lungo;https://fbref.com/en/players/e0fbd23c/Tommaso-Del-Lungo;;DF;21;0;0;;;;;;;;;;
Serie A;Atalanta;Relja Obrić;https://fbref.com/en/players/74c98735/Relja-Obric;;DF;19;0;0;;;;;;;;;;
Serie A;Atalanta;Lorenzo Riccio;https://fbref.com/en/players/de6f7170/Lorenzo-Riccio;;MF;18;0;0;;;;;;;;;;
Serie A;Atalanta;Francesco Rossi;https://fbref.com/en/players/7b5f516f/Francesco-Rossi;;GK;34;0;0;;;;;;;;;;
Serie A;Atalanta;Federico Steffanoni;https://fbref.com/en/players/c2eff1fa/Federico-Steffanoni;;MF;16;0;0;;;;;;;;;;
Serie A;Atalanta;Pietro Tornaghi;https://fbref.com/en/players/a48fb754/Pietro-Tornaghi;;DF;19;0;0;;;;;;;;;;
Serie A;Atalanta;Dominic Vavassori;https://fbref.com/en/players/0f0a74d0/Dominic-Vavassori;;FW;19;0;0;;;;;;;;;;
Serie A;Atalanta;Paolo Vismara;https://fbref.com/en/players/d3ce5e99/Paolo-Vismara;;GK;22;0;0;;;;;;;;;;
Serie A;Juventus;Manuel Locatelli;https://fbref.com/en/players/a8a874f1/Manuel-Locatelli;;MF;27;33;31;2,552;28.4;1;2;3;1;0;0;8;0
Serie A;Juventus;Michele Di Gregorio;https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio;;GK;27;30;30;2,7;30.0;0;0;0;0;0;0;0;0
Serie A;Juventus;Kenan Yıldız;https://fbref.com/en/players/d8cda243/Kenan-Yildiz;;FW,MF;20;33;26;2,223;24.7;6;2;8;6;0;0;2;1
Serie A;Juventus;Federico Gatti;https://fbref.com/en/players/18dd3219/Federico-Gatti;;DF;26;28;26;2,185;24.3;1;0;1;1;0;0;2;0
Serie A;Juventus;Weston McKennie;https://fbref.com/en/players/01c3aff5/Weston-McKennie;;MF,DF;26;29;25;2,125;23.6;2;3;5;2;0;0;2;0
Serie A;Juventus;Pierre Kalulu;https://fbref.com/en/players/85f7d1be/Pierre-Kalulu;;DF;24;28;24;2,278;25.3;1;0;1;1;0;0;2;0
Serie A;Juventus;Khéphren Thuram;https://fbref.com/en/players/7d9397f8/Khephren-Thuram;;MF;24;33;24;2,146;23.8;4;5;9;4;0;0;4;0
Serie A;Juventus;Andrea Cambiaso;https://fbref.com/en/players/247ed022/Andrea-Cambiaso;;DF,FW;25;31;23;2,075;23.1;2;2;4;2;0;0;4;0
Serie A;Juventus;Teun Koopmeiners;https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners;;MF,FW;27;28;23;1,994;22.2;3;3;6;3;0;0;3;0
Serie A;Juventus;Dušan Vlahović;https://fbref.com/en/players/79443529/Dusan-Vlahovic;;FW;25;26;21;1,746;19.4;9;4;13;5;4;4;3;0
Serie A;Juventus;Nicolás González;https://fbref.com/en/players/2374aaca/Nicolas-Gonzalez;;FW,MF;27;23;20;1,535;17.1;2;2;4;2;0;0;2;0
Serie A;Juventus;Nicolò Savona;https://fbref.com/en/players/e041497d/Nicolo-Savona;;DF;22;26;17;1,544;17.2;2;1;3;2;0;0;4;0
Serie A;Juventus;Timothy Weah;https://fbref.com/en/players/8eec784d/Timothy-Weah;;DF,FW;25;27;17;1,519;16.9;5;2;7;5;0;0;4;0
Serie A;Juventus;Francisco Conceição;https://fbref.com/en/players/5ef3d210/Francisco-Conceicao;;FW,MF;22;23;10;1,126;12.5;3;3;6;3;0;0;5;1
Serie A;Juventus;Randal Kolo Muani;https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani;;FW;26;13;10;938;10.4;6;1;7;5;1;1;0;0
Serie A;Juventus;Renato Veiga;https://fbref.com/en/players/fc8fcbd1/Renato-Veiga;;DF;21;10;10;868;9.6;0;1;1;0;0;0;2;0
Serie A;Juventus;Lloyd Kelly;https://fbref.com/en/players/f31def1e/Lloyd-Kelly;;DF;26;10;9;833;9.3;0;0;0;0;0;0;1;0
Serie A;Juventus;Samuel Mbangula;https://fbref.com/en/players/3e25e70c/Samuel-Mbangula;;FW;21;22;7;708;7.9;3;3;6;3;0;0;1;0
Serie A;Juventus;Danilo;https://fbref.com/en/players/94b2001f/Danilo;;DF;33;12;6;581;6.5;0;1;1;0;0;0;2;0
Serie A;Juventus;Gleison Bremer;https://fbref.com/en/players/5fd5ed86/Gleison-Bremer;;DF;28;6;6;540;6.0;0;0;0;0;0;0;2;0
Serie A;Juventus;Juan David Cabal;https://fbref.com/en/players/ef6eef89/Juan-David-Cabal;;DF;24;7;6;460;5.1;0;0;0;0;0;0;0;0
Serie A;Juventus;Nicolò Fagioli;https://fbref.com/en/players/366be751/Nicolo-Fagioli;;MF;24;17;5;571;6.3;0;0;0;0;0;0;4;0
Serie A;Juventus;Mattia Perin;https://fbref.com/en/players/4c62d0c8/Mattia-Perin;;GK;32;5;5;450;5.0;0;0;0;0;0;0;0;0
Serie A;Juventus;Douglas Luiz;https://fbref.com/en/players/6f7d826d/Douglas-Luiz;;MF;26;17;3;507;5.6;0;0;0;0;0;0;2;0
Serie A;Juventus;Jonas Rouhi;https://fbref.com/en/players/31908a0a/Jonas-Rouhi;;DF;21;5;1;210;2.3;0;0;0;0;0;0;0;0
Serie A;Juventus;Alberto costa;https://fbref.com/en/players/4d36e5ae/Alberto-costa;;DF,MF;21;6;0;144;1.6;0;0;0;0;0;0;2;0
Serie A;Juventus;Vasilije Adžić;https://fbref.com/en/players/8b0f9fb8/Vasilije-Adzic;;MF,FW;18;4;0;31;0.3;0;0;0;0;0;0;0;0
Serie A;Juventus;Diego Pugno;https://fbref.com/en/players/e4b616dc/Diego-Pugno;;FW;18;1;0;7;0.1;0;0;0;0;0;0;0;0
Serie A;Juventus;Lorenzo Anghelè;https://fbref.com/en/players/b2f3d550/Lorenzo-Anghele;;FW;20;1;0;6;0.1;0;0;0;0;0;0;0;0
Serie A;Juventus;Giovanni Daffara;https://fbref.com/en/players/be0ddfe4/Giovanni-Daffara;;GK;20;0;0;;;;;;;;;;
Serie A;Juventus;Javier Gil;https://fbref.com/en/players/e91df21a/Javier-Gil;;DF;19;0;0;;;;;;;;;;
Serie A;Juventus;Alfonso Montero;https://fbref.com/en/players/1e096d5f/Alfonso-Montero;;DF;18;0;0;;;;;;;;;;
Serie A;Juventus;Augusto Owusu;https://fbref.com/en/players/a5b75e47/Augusto-Owusu;;DF;20;0;0;;;;;;;;;;
Serie A;Juventus;Filippo Pagnucco;https://fbref.com/en/players/bb9e8b8e/Filippo-Pagnucco;;DF;19;0;0;;;;;;;;;;
Serie A;Juventus;Christos Papadopoulos;https://fbref.com/en/players/e19bc88c/Christos-Papadopoulos;;MF;20;0;0;;;;;;;;;;
Serie A;Juventus;Carlo Pinsoglio;https://fbref.com/en/players/f6a06749/Carlo-Pinsoglio;;GK;35;0;0;;;;;;;;;;
Serie A;Juventus;Niccolò Rizzo;https://fbref.com/en/players/6627d54b/Niccolo-Rizzo;;DF;17;0;0;;;;;;;;;;
Serie A;Roma;Obite N'Dicka;https://fbref.com/en/players/441197b8/Obite-NDicka;;DF;25;35;35;3,15;35.0;0;1;1;0;0;0;2;0
Serie A;Roma;Mile Svilar;https://fbref.com/en/players/bcf5058a/Mile-Svilar;;GK;25;35;35;3,15;35.0;0;0;0;0;0;0;1;0
Serie A;Roma;Angeliño;https://fbref.com/en/players/30941e96/Angelino;;DF;28;35;33;2,907;32.3;2;1;3;2;0;0;1;0
Serie A;Roma;Gianluca Mancini;https://fbref.com/en/players/5aa53281/Gianluca-Mancini;;DF;29;34;33;2,873;31.9;1;0;1;1;0;0;7;0
Serie A;Roma;Manu Koné;https://fbref.com/en/players/86574238/Manu-Kone;;MF;23;31;28;2,308;25.6;2;1;3;2;0;0;6;0
Serie A;Roma;Artem Dovbyk;https://fbref.com/en/players/5b847bb0/Artem-Dovbyk;;FW;27;31;26;2,333;25.9;12;2;14;10;2;2;0;0
Serie A;Roma;Zeki Çelik;https://fbref.com/en/players/31a62dc7/Zeki-Celik;;DF;28;28;24;1,987;22.1;0;2;2;0;0;0;3;0
Serie A;Roma;Bryan Cristante;https://fbref.com/en/players/16657b95/Bryan-Cristante;;MF;30;27;20;1,775;19.7;2;2;4;2;0;0;7;0
