League;Team;Player;Player_URL;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
Premier League;Arsenal;Kai Havertz;https://fbref.com/en/players/fed7cb61/Kai-Havertz;;FW,MF;25;21;21;1,839;20.4;9;3;12;9;0;0;4;0
Premier League;Arsenal;Bukayo Saka;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka;;FW,MF;23;22;18;1,539;17.1;6;10;16;5;1;1;3;0
Premier League;Arsenal;Mikel Merino;https://fbref.com/en/players/d080ed5e/Mikel-Merino;;MF,FW;28;26;15;1,418;15.8;6;2;8;6;0;0;2;0
Premier League;Arsenal;Myles Lewis-Skelly;https://fbref.com/en/players/5dff6c28/Myles-Lewis-Skelly;;DF;18;20;13;1,168;13.0;1;0;1;1;0;0;2;2
Premier League;Arsenal;Riccardo Calafiori;https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori;;DF;22;17;11;925;10.3;2;1;3;2;0;0;4;0
Premier League;Arsenal;Ben White;https://fbref.com/en/players/35e413f1/Ben-White;;DF;27;14;10;941;10.5;0;1;1;0;0;0;2;0
Premier League;Arsenal;Ethan Nwaneri;https://fbref.com/en/players/7f94982c/Ethan-Nwaneri;;FW,MF;18;25;10;821;9.1;4;2;6;4;0;0;1;0
Premier League;Arsenal;Jorginho;https://fbref.com/en/players/45db685d/Jorginho;;MF;33;14;9;703;7.8;0;0;0;0;0;0;5;0
Premier League;Arsenal;Jakub Kiwior;https://fbref.com/en/players/dc3e663e/Jakub-Kiwior;;DF;25;14;7;852;9.5;1;0;1;1;0;0;0;0
Premier League;Arsenal;Gabriel Jesus;https://fbref.com/en/players/b66315ae/Gabriel-Jesus;;FW;28;17;6;608;6.8;3;0;3;3;0;0;4;0
Premier League;Arsenal;Raheem Sterling;https://fbref.com/en/players/b400bde0/Raheem-Sterling;;FW,MF;30;16;6;437;4.9;0;2;2;0;0;0;1;0
Premier League;Arsenal;Oleksandr Zinchenko;https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko;;DF,MF;28;13;4;455;5.1;0;1;1;0;0;0;1;0
Premier League;Arsenal;Kieran Tierney;https://fbref.com/en/players/fce2302c/Kieran-Tierney;;DF,FW;27;10;1;181;2.0;0;0;0;0;0;0;0;0
Premier League;Arsenal;Nathan Butler-Oyedeji;https://fbref.com/en/players/3a686640/Nathan-Butler-Oyedeji;;FW;22;1;0;7;0.1;0;0;0;0;0;0;0;0
Premier League;Arsenal;Takehiro Tomiyasu;https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu;;DF;26;1;0;7;0.1;0;0;0;0;0;0;0;0
Premier League;Arsenal;Reiss Nelson;https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson;;FW;25;1;0;3;0.0;0;0;0;0;0;0;0;0
Premier League;Arsenal;Brayden Clarke;https://fbref.com/en/players/f9657b1b/Brayden-Clarke;;DF;17;0;0;;;;;;;;;;
Premier League;Arsenal;Jimi Gower;https://fbref.com/en/players/4571f93e/Jimi-Gower;;MF;20;0;0;;;;;;;;;;
Premier League;Arsenal;Ayden Heaven;https://fbref.com/en/players/64e17fab/Ayden-Heaven;;DF;18;0;0;;;;;;;;;;
Premier League;Arsenal;Jack Henry-Francis;https://fbref.com/en/players/e93d8ed1/Jack-Henry-Francis;;MF;21;0;0;;;;;;;;;;
Premier League;Arsenal;Ismeal Kabia;https://fbref.com/en/players/6b15cf32/Ismeal-Kabia;;MF;19;0;0;;;;;;;;;;
Premier League;Arsenal;Maldini Kacurri;https://fbref.com/en/players/7be4311f/Maldini-Kacurri;;DF;19;0;0;;;;;;;;;;
Premier League;Arsenal;Neto;https://fbref.com/en/players/a9dc785c/Neto;;GK;35;0;0;;;;;;;;;;
Premier League;Arsenal;Josh Nichols;https://fbref.com/en/players/676cf55d/Josh-Nichols;;DF;18;0;0;;;;;;;;;;
Premier League;Arsenal;Eddie Nketiah;https://fbref.com/en/players/a53649b7/Eddie-Nketiah;;FW;25;0;0;;;;;;;;;;
Premier League;Arsenal;Salah Oulad M'Hand;https://fbref.com/en/players/b85c3273/Salah-Oulad-MHand;;MF;21;0;0;;;;;;;;;;
Premier League;Arsenal;Jack Porter;https://fbref.com/en/players/0b4ecd65/Jack-Porter;;GK;16;0;0;;;;;;;;;;
Premier League;Arsenal;Aaron Ramsdale;https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale;;GK;26;0;0;;;;;;;;;;
Premier League;Arsenal;Tommy Setford;https://fbref.com/en/players/d1a2e006/Tommy-Setford;;GK;19;0;0;;;;;;;;;;
Premier League;Manchester City;Joško Gvardiol;https://fbref.com/en/players/5ad50391/Josko-Gvardiol;;DF;23;34;33;3,007;33.4;5;0;5;5;0;0;2;0
Premier League;Manchester City;Erling Haaland;https://fbref.com/en/players/1f44ac21/Erling-Haaland;;FW;24;28;28;2,48;27.6;21;3;24;19;2;3;2;0
